message,label,processed_message
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
Ok lar... Joking wif u oni...,ham,ok lar joke wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over
U dun say so early hor... U c already then say...,ham,u dun say earli hor u c alreadi say
"Nah I don't think he goes to usf, he lives around here though",ham,nah dont think goe usf live around though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam,freemsg hey darl week word back id like fun still tb ok xxx std chg send £ rcv
Even my brother is not like to speak with me. They treat me like aids patent.,ham,even brother like speak treat like aid patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,winner valu network custom select receivea £ prize reward claim call claim code kl valid hour
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,urgent week free membership £ prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,date sunday
